Timestamp,Is Buy,Account Trade Price,Market Trade Price,Nr Successfully cycles,Initial Value [$],Current Value (Position),Position Profit [$],Position Profit [%]
0,False,0.41361249999999994,0.40794,0,50,50.05398773006135,1.0010797546012271,1.0010797546012271
0,False,0.41361249999999994,0.40803,0,50,50.065030674846625,1.0013006134969324,1.0013006134969324
0,False,0.41361249999999994,0.40786,0,50,50.0441717791411,1.000883435582822,1.000883435582822
0,False,0.41361249999999994,0.40767,0,50,50.02085889570552,1.0004171779141104,1.0004171779141104
0,False,0.41361249999999994,0.40774,0,50,50.02944785276073,1.0005889570552147,1.0005889570552147
0,False,0.41361249999999994,0.40768,0,50,50.022085889570555,1.0004417177914111,1.0004417177914111
0,False,0.41361249999999994,0.40797,0,50,50.05766871165644,1.001153374233129,1.001153374233129
0,False,0.41361249999999994,0.40818,0,50,50.083435582822084,1.0016687116564418,1.0016687116564418
0,False,0.41361249999999994,0.4086,0,50,50.13496932515338,1.0026993865030676,1.0026993865030676
0,False,0.41361249999999994,0.40847,0,50,50.119018404907976,1.0023803680981596,1.0023803680981596
0,False,0.41361249999999994,0.40902,0,50,50.186503067484665,1.0037300613496933,1.0037300613496933
0,False,0.41361249999999994,0.40853,0,50,50.12638036809816,1.0025276073619631,1.0025276073619631
0,False,0.41361249999999994,0.40861,0,50,50.1361963190184,1.002723926380368,1.002723926380368
0,False,0.41361249999999994,0.40915,0,50,50.20245398773007,1.0040490797546013,1.0040490797546013
0,False,0.41361249999999994,0.40957,0,50,50.25398773006135,1.005079754601227,1.005079754601227
0,False,0.41361249999999994,0.4097,0,50,50.26993865030675,1.005398773006135,1.005398773006135
0,False,0.41361249999999994,0.41009,0,50,50.31779141104295,1.006355828220859,1.006355828220859
0,False,0.41361249999999994,0.40983,0,50,50.28588957055215,1.0057177914110431,1.0057177914110431
0,False,0.41361249999999994,0.4096,0,50,50.25766871165644,1.005153374233129,1.005153374233129
0,False,0.41361249999999994,0.40962,0,50,50.2601226993865,1.00520245398773,1.00520245398773
0,False,0.41361249999999994,0.40976,0,50,50.277300613496934,1.0055460122699387,1.0055460122699387
0,False,0.41361249999999994,0.40984,0,50,50.287116564417175,1.0057423312883436,1.0057423312883436
0,False,0.41361249999999994,0.40984,0,50,50.287116564417175,1.0057423312883436,1.0057423312883436
0,False,0.41361249999999994,0.41003,0,50,50.31042944785276,1.0062085889570553,1.0062085889570553
0,False,0.41361249999999994,0.40907,0,50,50.19263803680982,1.0038527607361964,1.0038527607361964
0,True,0.409,0.40964,0,50,50,0,0
0,True,0.409,0.4096,0,50,50,0,0
0,True,0.409,0.40933,0,50,50,0,0
0,False,0.4151349999999999,0.40917,0,50,50.020782396088016,1.0004156479217603,1.0004156479217603
0,False,0.4151349999999999,0.40868,0,50,49.960880195599024,0.9992176039119804,0.9992176039119804
