Timestamp,Is Buy,Account Trade Price,Market Trade Price,Market Ask Price [€],Initial Value [€],Cash Value,Cash Profit [%],Accrued Fees [€],Nr Buy+Sell Cycles
2021-03-08 20:35:24.333561,True,331.6666666666667,0.3,0.40413,100.0,100.0,0.0,0,0
2021-03-08 20:35:30.354627,True,331.6666666666667,0.3,0.40403,100.0,100.0,0.0,0,0
2021-03-08 20:35:37.152379,True,331.6666666666667,0.3,0.40403,100.0,100.0,0.0,0,0
2021-03-08 20:35:44.328825,True,331.6666666666667,0.3,0.40403,100.0,100.0,0.0,0,0
2021-03-08 20:35:50.526249,True,331.6666666666667,0.3,0.40397,100.0,100.0,0.0,0,0
2021-03-08 20:35:56.816615,True,331.6666666666667,0.3,0.40403,100.0,100.0,0.0,0,0
2021-03-08 20:36:03.570722,True,331.6666666666667,0.3,0.40397,100.0,100.0,0.0,0,0
2021-03-08 20:36:09.713292,True,331.6666666666667,0.3,0.40398,100.0,100.0,0.0,0,0
2021-03-08 20:36:15.928060,True,331.6666666666667,0.3,0.40385,100.0,100.0,0.0,0,0
2021-03-08 20:36:22.003000,True,331.6666666666667,0.3,0.40363,100.0,100.0,0.0,0,0
2021-03-08 20:36:28.328178,True,331.6666666666667,0.3,0.40363,100.0,100.0,0.0,0,0
2021-03-08 20:36:34.754527,True,331.6666666666667,0.3,0.40347,100.0,100.0,0.0,0,0
2021-03-08 20:36:41.668698,True,331.6666666666667,0.3,0.40347,100.0,100.0,0.0,0,0
2021-03-08 20:36:48.112367,True,331.6666666666667,0.3,0.40349,100.0,100.0,0.0,0,0
2021-03-08 20:36:54.133611,True,331.6666666666667,0.3,0.40347,100.0,100.0,0.0,0,0
2021-03-08 20:37:00.402013,True,331.6666666666667,0.3,0.40347,100.0,100.0,0.0,0,0
2021-03-08 20:37:06.540453,True,331.6666666666667,0.3,0.40367,100.0,100.0,0.0,0,0
2021-03-08 20:37:12.930231,True,331.6666666666667,0.3,0.40365,100.0,100.0,0.0,0,0
2021-03-08 20:37:19.033771,True,331.6666666666667,0.3,0.40365,100.0,100.0,0.0,0,0
2021-03-08 20:37:26.212137,True,331.6666666666667,0.3,0.40365,100.0,100.0,0.0,0,0
2021-03-08 20:37:32.352082,True,331.6666666666667,0.3,0.40365,100.0,100.0,0.0,0,0
2021-03-08 20:37:38.800320,True,331.6666666666667,0.3,0.40375,100.0,100.0,0.0,0,0
2021-03-08 20:37:44.948442,True,331.6666666666667,0.3,0.40378,100.0,100.0,0.0,0,0
