Timestamp,Is Buy,Account Trade Price,Market Trade Price,Market Ask Price [$],Initial Value [$],Cash Value,Cash Profit [%],Accrued Fees [$],Nr Buy+Sell Cycles
2021-03-14 13:44:30.953438,True,222.76818618363745,0.44773,0.44777,100.0,100.0,0.0,0,0
2021-03-14 13:44:37.096836,True,222.76818618363745,0.44773,0.44789,100.0,100.0,0.0,0,0
2021-03-14 13:44:43.883215,True,222.76818618363745,0.44773,0.44784,100.0,100.0,0.0,0,0
2021-03-14 13:44:50.921320,True,222.76818618363745,0.44773,0.44791,100.0,100.0,0.0,0,0
2021-03-14 13:44:57.384063,True,222.76818618363745,0.44773,0.44788,100.0,100.0,0.0,0,0
